class,f1_per_class
Neutrophils,0.906859660163625
CD4,0.742627345844504
exhaust,0.5965217391304348
Alveolar,0.7451199107640825
CD8,0.5871559633027524
Treg,0.7208480565371025
suspected,0.6346272335181763
Unspec-CD8,0.8054919908466819
recruited,0.5876543209876542
Plasmacell,0.8292682926829269
recruited-activated,0.7557077625570776
Unspec-CD4-1,0.40674603174603174
Cytotox,0.47765363128491617
naive2,0.4626865671641791
naive1,0.5389369592089
EMRA,0.0
Unident-Prolif,0.4370860927152318
cyto2,0.7794117647058824
Unident-L,0.2939068100358423
Mucous,0.8571428571428572
IFN,0.5217391304347827
Ciliated,0.9385964912280702
Undefined,0.3
MAIT,0.1904761904761905
Mast-cells,0.8636363636363635
cyto1,0.46808510638297873
Tfh,0.3714285714285715
apopt,0.2790697674418604
activ,0.12121212121212122
Unspec-Epi,0.5106382978723404
iNKT,0.46153846153846156
Th17,0.11494252873563217
patrolling,0.7344632768361582
cDC3,0.5588235294117648
DCmig,0.43478260869565216
Basal,0.19999999999999998
Unspec-CD4-2,0.0
NK,0.5925925925925926
cDC2B,0.6666666666666667
inf,0.5306122448979592
Naive,0.0
B,0.6857142857142856
cDC1,0.3636363636363636
pDC,0.6666666666666667
Plasmablast,0.33333333333333337
resident-interstitial,0.0
cDC2A,0.5
